Factor,Question
Consideration of others' perspectives,I put myself in the other person's shoes.
Consideration of others' perspectives,I tried to communicate with the other person what we might have in common.
Consideration of others' perspectives,I made an effort to take the other person's perspective.
Consideration of others' perspectives,I took time to get the other person's opinions on the matter before coming to a conclusion.
Consideration of change and multiple ways situation may unfold,I looked for different solutions as the situation evolved.
Consideration of change and multiple ways situation may unfold,I considered alternative solutions as the situation evolved.
Consideration of change and multiple ways situation may unfold,I believed the situation could lead to a number of different outcomes.
Consideration of change and multiple ways situation may unfold,I thought the situation could unfold in many different ways.
 Intellectual humility and/or the recognition of limits of knowledge,I double-checked whether my opinion on the situation might be incorrect.
 Intellectual humility and/or the recognition of limits of knowledge,I considered whether the other person's opinions might be correct.
 Intellectual humility and/or the recognition of limits of knowledge,I looked for any extraordinary circumstances before forming my opinion.
 Intellectual humility and/or the recognition of limits of knowledge,I behaved as if there may be some information to which I did not have access.
Search for a compromise,I tried my best to find a way to accommodate both of us.
Search for a compromise,"Though it may not have been possible, I searched for a solution that could result in both of us being satisfied."
Search for a compromise,I considered first whether a compromise was possible in resolving the situation.
Search for a compromise,I viewed it as very important that we resolve the situation.
Search for a compromise,I tried to anticipate how the conflict might be resolved.
View of the event through the vantage point of an outsider,I wondered what I would think if I was somebody else watching the situation.
View of the event through the vantage point of an outsider,I tried to see the conflict from the point of view of an uninvolved person.
View of the event through the vantage point of an outsider,I asked myself what other people might think or feel if they were watching the conflict.
View of the event through the vantage point of an outsider,I thought about whether an outside person might have a different opinion from mine about the situation.